Elevation;Aspect;Slope;H_Hydrology;V_Hydrology;H_Ignition;Cover
2926;208;15;300;20;3446;Lodgepole pine
2839;71;14;488;66;2616;Lodgepole pine
2689;179;11;210;2;1851;Lodgepole pine
3015;66;19;335;22;4847;Lodgepole pine
2995;62;14;362;5;4795;Lodgepole pine
2938;159;7;285;22;2656;Lodgepole pine
2929;130;8;150;17;2590;Lodgepole pine
2851;107;11;458;78;2698;Lodgepole pine
2949;122;14;379;28;2714;Lodgepole pine
2596;33;14;335;66;1321;Lodgepole pine
2939;45;8;306;26;4080;Lodgepole pine
2805;44;17;170;32;2436;Lodgepole pine
3074;52;9;42;4;5353;Spruce/fir
2932;54;16;283;119;2418;Lodgepole pine
2868;29;20;95;33;2468;Spruce/fir
2864;128;8;451;63;2713;Lodgepole pine
2946;352;14;170;35;2352;Lodgepole pine
3021;25;12;564;21;4662;Spruce/fir
3018;49;14;631;22;4569;Lodgepole pine
2863;193;6;390;62;2577;Lodgepole pine
2978;156;6;524;61;2688;Lodgepole pine
2945;63;12;324;110;2278;Lodgepole pine
2618;7;18;170;47;1866;Lodgepole pine
2968;120;9;365;51;2557;Lodgepole pine
2734;93;5;277;16;2445;Lodgepole pine
2728;83;11;277;19;2416;Lodgepole pine
2762;190;5;30;-3;2647;Lodgepole pine
2922;270;5;120;9;3582;Lodgepole pine
2926;61;11;90;9;2375;Lodgepole pine
2962;346;6;518;45;2514;Lodgepole pine
2624;183;27;60;22;2374;Lodgepole pine
2917;107;5;210;33;2125;Lodgepole pine
2644;345;3;85;-4;1426;Lodgepole pine
2645;45;4;134;-3;1368;Lodgepole pine
3024;24;16;297;26;4161;Spruce/fir
2651;40;14;242;4;1783;Lodgepole pine
2936;231;7;285;30;2571;Lodgepole pine
2813;127;14;60;12;2313;Aspen
2617;344;19;30;6;2506;Lodgepole pine
2952;281;5;212;33;2022;Lodgepole pine
2968;286;17;283;41;1992;Lodgepole pine
2992;228;6;458;79;1919;Lodgepole pine
2976;124;9;277;39;1891;Lodgepole pine
2796;131;9;0;0;2323;Aspen
2955;311;9;421;49;2428;Lodgepole pine
2917;175;13;30;0;1907;Spruce/fir
2821;72;20;90;20;2247;Aspen
2794;179;20;124;29;2408;Lodgepole pine
2661;266;4;67;4;1499;Lodgepole pine
2793;119;17;30;-2;2274;Aspen
2976;315;19;319;58;1917;Lodgepole pine
2807;115;21;85;11;2215;Aspen
3109;87;13;446;16;4669;Lodgepole pine
3109;53;7;362;42;4310;Spruce/fir
2792;109;19;67;8;2208;Aspen
2775;121;16;30;-3;2244;Aspen
3113;14;13;376;23;4380;Spruce/fir
2919;341;9;467;3;3187;Spruce/fir
2757;129;12;0;0;2259;Aspen
2952;41;14;335;13;3375;Spruce/fir
2764;91;15;42;7;2216;Aspen
2753;109;19;60;-3;2213;Aspen
2744;122;19;30;1;2232;Aspen
2736;138;18;0;0;2252;Aspen
2954;156;10;301;79;1657;Lodgepole pine
2662;138;23;30;8;2588;Lodgepole pine
2988;69;14;228;3;3596;Lodgepole pine
2965;72;14;361;6;3383;Lodgepole pine
2663;118;21;30;11;2546;Lodgepole pine
2600;64;10;247;33;1195;Lodgepole pine
2942;71;16;499;3;3211;Spruce/fir
2718;90;18;30;-2;2207;Aspen
2695;168;19;30;-1;2291;Aspen
2669;31;3;342;17;1559;Lodgepole pine
2753;103;20;108;24;2123;Aspen
2721;101;18;42;13;2185;Aspen
2686;142;10;0;0;2293;Aspen
2676;119;5;0;0;2352;Aspen
2610;135;6;272;13;1256;Lodgepole pine
2706;137;18;60;-1;2185;Aspen
2709;323;24;127;59;2563;Lodgepole pine
2676;66;3;391;24;1745;Lodgepole pine
3201;70;8;331;59;5058;Spruce/fir
2688;120;7;30;3;2227;Aspen
2685;11;2;30;4;2241;Aspen
2684;347;6;0;0;2215;Aspen
2714;329;25;127;45;2479;Lodgepole pine
2766;38;5;85;-3;2800;Aspen
2695;101;10;0;0;2101;Aspen
2690;35;6;0;0;2123;Aspen
2769;7;9;67;0;2780;Aspen
2795;126;24;153;23;1740;Lodgepole pine
2740;332;27;175;70;2432;Lodgepole pine
3009;238;7;446;42;1631;Lodgepole pine
2964;84;19;124;32;1434;Lodgepole pine
2783;332;30;255;114;2467;Lodgepole pine
2781;56;9;190;5;2630;Aspen
2775;40;8;134;0;2673;Aspen
2781;39;3;60;11;2739;Aspen
2593;7;8;85;-5;1279;Lodgepole pine
3149;120;13;150;33;4269;Spruce/fir
3044;345;5;342;20;3538;Spruce/fir
2919;76;4;228;6;2754;Spruce/fir
2786;52;11;182;10;2609;Aspen
2780;13;8;124;4;2652;Aspen
2780;350;9;95;4;2674;Aspen
2872;79;9;0;0;1323;Lodgepole pine
2796;27;2;240;20;2546;Aspen
2790;54;10;180;14;2588;Aspen
2769;107;11;95;12;2869;Lodgepole pine
2719;48;7;361;33;2177;Lodgepole pine
2763;357;23;201;66;2032;Lodgepole pine
3011;73;9;659;7;3215;Lodgepole pine
